ImageName,Mode,Channel,Mean(x),Mean(y),VAR(X),VAR(Y),"COV(X, Y)","Correlation(X,Y)"
02_Baboon_en.bmp,VD,G channel,127.74,127.74,5462.51,5461.63,3.50,0.000640
02_Baboon_en.bmp,VD,B channel,127.58,127.58,5466.86,5467.17,-2.12,-0.000388
02_Baboon_en.bmp,DD,R channel,127.71,127.70,5436.50,5436.44,-13.05,-0.002401
02_Baboon_en.bmp,DD,G channel,127.73,127.74,5462.56,5461.14,1.27,0.000232
02_Baboon_en.bmp,DD,B channel,127.58,127.58,5467.04,5467.44,-4.97,-0.000908
03_Lena_en.bmp,HD,R channel,127.47,127.48,5467.70,5467.65,-5.85,-0.001070
03_Lena_en.bmp,HD,G channel,127.18,127.16,5457.55,5456.89,-8.24,-0.001509
03_Lena_en.bmp,HD,B channel,127.46,127.44,5468.84,5469.44,1.47,0.000269
03_Lena_en.bmp,VD,R channel,127.47,127.47,5468.26,5467.57,-4.75,-0.000869
03_Lena_en.bmp,VD,G channel,127.17,127.17,5457.41,5457.20,13.90,0.002547
03_Lena_en.bmp,VD,B channel,127.45,127.45,5469.01,5470.36,-3.43,-0.000627
03_Lena_en.bmp,DD,R channel,127.47,127.48,5468.53,5467.80,19.35,0.003539
03_Lena_en.bmp,DD,G channel,127.17,127.16,5457.84,5456.91,-2.26,-0.000413
03_Lena_en.bmp,DD,B channel,127.46,127.44,5467.97,5469.92,-0.20,-0.000036
04_Peppers_en.bmp,HD,R channel,127.48,127.48,5455.49,5455.21,1.30,0.000238
04_Peppers_en.bmp,HD,G channel,127.69,127.70,5455.41,5456.17,-1.80,-0.000331
04_Peppers_en.bmp,HD,B channel,127.55,127.55,5461.92,5461.08,18.71,0.003426
04_Peppers_en.bmp,VD,R channel,127.47,127.47,5455.30,5455.86,-5.81,-0.001065
04_Peppers_en.bmp,VD,G channel,127.70,127.69,5456.57,5456.04,23.57,0.004320
04_Peppers_en.bmp,VD,B channel,127.54,127.55,5460.97,5459.90,3.49,0.000640
04_Peppers_en.bmp,DD,R channel,127.47,127.48,5454.82,5455.10,-18.31,-0.003357
04_Peppers_en.bmp,DD,G channel,127.70,127.70,5456.06,5456.28,0.92,0.000168
04_Peppers_en.bmp,DD,B channel,127.54,127.55,5461.53,5459.61,1.43,0.000263
05_Sailboat_en.bmp,HD,R channel,127.43,127.43,5469.32,5469.03,-3.30,-0.000604
05_Sailboat_en.bmp,HD,G channel,127.55,127.56,5458.82,5459.39,3.81,0.000698
05_Sailboat_en.bmp,HD,B channel,127.79,127.79,5462.66,5462.71,-1.18,-0.000216
05_Sailboat_en.bmp,VD,R channel,127.41,127.44,5468.98,5469.83,6.67,0.001219
05_Sailboat_en.bmp,VD,G channel,127.56,127.56,5459.40,5459.48,7.02,0.001285
05_Sailboat_en.bmp,VD,B channel,127.79,127.79,5462.72,5462.01,11.26,0.002061
05_Sailboat_en.bmp,DD,R channel,127.42,127.44,5468.93,5469.53,-21.99,-0.004020
05_Sailboat_en.bmp,DD,G channel,127.57,127.57,5458.53,5459.21,-1.67,-0.000306
05_Sailboat_en.bmp,DD,B channel,127.78,127.79,5463.12,5462.51,1.06,0.000195
06_Splash_en.bmp,HD,R channel,127.65,127.64,5462.75,5462.79,11.70,0.002142
06_Splash_en.bmp,HD,G channel,127.49,127.49,5460.35,5460.98,13.58,0.002487
06_Splash_en.bmp,HD,B channel,127.47,127.47,5450.26,5450.34,16.07,0.002948
06_Splash_en.bmp,VD,R channel,127.64,127.63,5462.01,5462.91,-7.03,-0.001287
06_Splash_en.bmp,VD,G channel,127.49,127.50,5460.16,5461.45,-2.02,-0.000370
06_Splash_en.bmp,VD,B channel,127.46,127.47,5450.05,5449.47,-14.55,-0.002669
06_Splash_en.bmp,DD,R channel,127.65,127.63,5462.09,5463.01,3.50,0.000640
06_Splash_en.bmp,DD,G channel,127.49,127.50,5459.47,5461.41,4.99,0.000914
06_Splash_en.bmp,DD,B channel,127.46,127.47,5449.90,5449.37,0.24,0.000045
01_Airplane.bmp,HD,R channel,177.54,177.52,1979.76,1979.45,1925.45,0.972641
01_Airplane.bmp,HD,G channel,177.80,178.20,2689.45,2630.50,2547.53,0.957787
01_Airplane.bmp,HD,B channel,190.17,190.20,1039.86,1038.85,1001.92,0.963982
01_Airplane.bmp,VD,R channel,177.63,177.83,1977.72,1948.86,1878.46,0.956816
01_Airplane.bmp,VD,G channel,177.86,177.96,2690.97,2686.67,2602.12,0.967756
01_Airplane.bmp,VD,B channel,190.20,190.48,1040.84,1002.86,955.59,0.935325
01_Airplane.bmp,DD,R channel,177.59,177.77,1978.82,1949.68,1836.46,0.934968
01_Airplane.bmp,DD,G channel,177.80,178.31,2693.28,2629.83,2475.11,0.930014
01_Airplane.bmp,DD,B channel,190.16,190.47,1041.64,1002.67,927.42,0.907482
02_Baboon.bmp,HD,R channel,137.45,137.37,3082.89,3081.03,2844.86,0.923070
02_Baboon.bmp,HD,G channel,128.88,128.85,2284.29,2282.37,1976.18,0.865483
02_Baboon.bmp,HD,B channel,113.17,113.18,3810.82,3808.96,3456.89,0.907348
02_Baboon.bmp,VD,R channel,137.43,137.64,3082.51,3054.65,2657.25,0.865962
02_Baboon.bmp,VD,G channel,128.85,129.09,2282.54,2259.24,1737.23,0.765009
02_Baboon.bmp,VD,B channel,113.13,113.32,3809.33,3793.50,3348.64,0.880895
02_Baboon.bmp,DD,R channel,137.49,137.62,3085.22,3055.51,2615.53,0.851873
02_Baboon.bmp,DD,G channel,128.87,129.08,2284.81,2259.59,1647.16,0.724930
02_Baboon.bmp,DD,B channel,113.18,113.38,3813.39,3795.67,3205.10,0.842446
03_Lena.bmp,HD,R channel,180.23,180.27,2405.18,2404.77,2356.34,0.979777
03_Lena.bmp,HD,G channel,99.03,99.12,2793.85,2796.31,2708.63,0.969071
03_Lena.bmp,HD,B channel,105.40,105.46,1159.69,1160.23,1081.95,0.932746
03_Lena.bmp,VD,R channel,180.18,180.24,2408.64,2405.18,2381.20,0.989319
03_Lena.bmp,VD,G channel,99.03,99.07,2799.93,2796.91,2749.44,0.982497
03_Lena.bmp,VD,B channel,105.42,105.42,1161.82,1160.26,1111.82,0.957608
03_Lena.bmp,DD,R channel,180.18,180.28,2408.03,2404.18,2352.52,0.977729
03_Lena.bmp,DD,G channel,99.01,99.13,2797.74,2797.20,2700.73,0.965417
03_Lena.bmp,DD,B channel,105.41,105.47,1161.57,1160.56,1074.51,0.925451
04_Peppers.bmp,HD,R channel,149.88,149.93,2040.67,2035.28,1963.64,0.963529
04_Peppers.bmp,HD,G channel,115.56,115.79,5631.02,5616.75,5517.71,0.981121
04_Peppers.bmp,HD,B channel,66.51,66.66,1961.26,1956.35,1893.23,0.966521
04_Peppers.bmp,VD,R channel,149.82,149.75,2035.48,2041.71,1969.97,0.966341
04_Peppers.bmp,VD,G channel,115.79,115.50,5616.75,5630.88,5521.33,0.981778
04_Peppers.bmp,VD,B channel,66.31,66.47,1937.74,1958.11,1882.51,0.966428
04_Peppers.bmp,DD,R channel,149.88,149.87,2035.41,2036.27,1951.45,0.958547
04_Peppers.bmp,DD,G channel,115.79,115.73,5615.86,5615.74,5452.25,0.970877
04_Peppers.bmp,DD,B channel,66.29,66.60,1937.80,1953.28,1843.95,0.947791
